business_name,address,mall_center,city,state,zip,mall
DREAM MACHINE - CORP. HDQTRS.,"99  CHAUNCY, P O BOX 459",,BOSTON,MA,02112-0459,False
RICHARDSON AMUSEMENT,333  HUNTINGTON AVE.,BEACON HILL VENDORS,BOSTON,MA,02115-4401,False
MAVERICK AMUSEMENT,,MAVERICK SQUARE # 9,EAST BOSTON,MA,02128-2312,True
1001 PLAYS,1007  MASSACHUSETTS AVE.,,CAMBRIDGE,MA,02138-,False
STRODE'S RENT-A-BOX,24  PITMAN ST.,,SOMERVILLE,MA,02143-,False
HANCOCK VENDING & SUPPLY,231  HOLLAND,,SOMERVILLE,MA,02144-2402,False
MELO-TONE VENDING,130  BROADWAY,,SOMERVILLE,MA,02145-3299,False
ABLE VENDING,171  MAPLEWOOD ST.,,MALDEN,MA,02148-5913,False
MIGHTY VENDING,7  ORIENT AVE.,,EVERETT,MA,02149-3318,False
JOHN FIORE,49  UNION,,EVERETT,MA,02149-4822,False
ATLANTIC VENDING,1040  SHORE RD. N.,,REVERE,MA,02151-1533,False
ASTRO-ENTERPRISE VENDING,55  AMERICAN LEGION HWY.,,REVERE,MA,02151-2499,False
CELEBRITY VENDING,317  SHIRLEY ST.,,WINTHROP,MA,02152-1238,False
GLOBE AUTOMATIC VENDING,378  GRANITE,,QUINCY,MA,02169-6405,False
DREAM MACHINE,550  ARSENAL ST.,WATERTOWN SHOPPING MALL,WATERTOWN,MA,02172-2844,True
VEND MASTERS,12  BRIGHTON ST.,,BELMONT,MA,02178-4008,False
T L C MARKETING,83  WYMAN RD.,,BRAINTREE,MA,02184-4720,False
REPLAY II,110  MAIN ST.,,WEYMOUTH,MA,02188-2809,False
AL MARUSA,226  WESTMINSTER RD.,,WEYMOUTH,MA,02189-1923,False
CAROUSEL VENDING,958  MAIN,,HANOVER,MA,02339-,False
STAR-LAND,645  WASHINGTON ST.,,HANOVER,MA,02339-2370,False
K & H MUSIC,14  LAKE ST.,,PEMBROKE,MA,02359-,False
PUTT-PUTT GOLF,96  WESTGATE DR.,,BROCKTON,MA,02401-1811,False
CARTLAND,"3044  CRANBERRY HWY. E. (E.WAREHAM), P O BOX 270",,BUZZARD'S BAY,MA,02532-,False
RYAN AMUSEMENT,116  WATERHOUSE RD.,,BOURNE,MA,02532-3853,False
BOURNE SPORTS WORLD,P O BOX 41,HWY. 28 (MONUMENT BEACH),CATAUMET,MA,02534-0041,False
FAMILY FUN CENTER,,TOWN HALL SQUARE,FALMOUTH,MA,02540-2754,True
ISLAND TOBACCO,P O BOX 17,MOSS AVE.,OAK BLUFFS,MA,02557-0017,False
PIONEER VENDING,45  HAMPSHIRE AVE.,,HYANNIS,MA,02601-,False
CAPE AMUSEMENT & VENDING,20  KENT LN.,,HYANNIS,MA,02601-,False
RYAN FAMILY AMUSEMENT CENTER,769  HWY. 132,CAPETOWN MALL,HYANNIS,MA,02601-5027,True
HOLIDAY HILL VENDING,352  MAIN,,DENNIS,MA,02638,False
SEA VIEW PLAYLAND,P O BOX 504,LOWER COUNTY RD.,DENNIS PORT,MA,02639-,False
ATLANTIC AMUSEMENTS,"1258  MAIN # A, P O BOX 852",,SOUTH YARMOUTH,MA,02664-,False
RYAN FAMILY AMUSEMENT CENTER,1067  HWY. 28,,SOUTH YARMOUTH,MA,02664-,True
AQUA CIRCUS,674  HWY. 28,,WEST YARMOUTH,MA,02673-,False
K & W MUSIC,139  RODMAN ST.,,FALL RIVER,MA,02721-,False
C & L AMUSEMENT CENTER,374  WILLIAM S CANNING BL. (HWY. 24),HARBOUR MALL,FALL RIVER,MA,02721-2352,True
RIVET ST. ARCADE,306  RIVET ST.,,NEW BEDFORD,MA,02744-,True
ADAMS & ADAMS,335  WOOD ST.,,NEW BEDFORD,MA,02745-5665,False
FAMILY PIZZA & AMUSEMENT,1759  ACUSHNET AVE.,,NEW BEDFORD,MA,02746-2126,False
DREAM MACHINE,,NORTH DARTMOUTH MALL # 148,NORTH DARTMOUTH,MA,02747-4251,True
BECK GAMES,53  FIELD ST.,,SEEKONK,MA,02771-,False
JUST FUN,,SWANSEA MALL,SWANSEA,MA,02777-,True
R E THURSTON & SONS,21  LANDS END WY.,,SWANSEA,MA,02777-2909,False
WESTPORT WATER SLIDE,"1125  STATE RD., P O BOX 845",,WESTPORT,MA,02798-,False
O'BRIEN MUSIC,268  THAMES ST.,,NEWPORT,RI,02840-6613,False
RYAN FAMILY AMUSEMENT CENTER,266  THAMES ST.,,NEWPORT,RI,02840-6613,True
A M MUSIC,114  SLATER ST.,,PAWTUCKET,RI,02860-2862,False
STATE MUSIC & VENDING,963  MAIN ST.,,PAWTUCKET,RI,02860-4849,False
MERIT MUSIC,325  WOODHAVEN RD.,,PAWTUCKET,RI,02861,False
D B AMUSEMENTS & VENDING,314  BEVERAGE HILL AVE.,,PAWTUCKET,RI,02861-,False
RAYMOND C LETENDRE,12  ARROW ST.,,CENTRAL FALLS,RI,02863-1339,False
DREAM MACHINE,325  WASHINGTON HWY.,LINCOLN MALL,LINCOLN,RI,02865-4211,True
ROCKINGHAM VENDING,"555  PARK AVE., P O BOX 132",,PORTSMOUTH,RI,02871-0132,False
NEWPORT MUSIC,849  UNION ST.,,PORTSMOUTH,RI,02871-2211,False
ALADDIN'S CASTLE,400  BALD HILL RD.,WARWICK MALL # 152,WARWICK,RI,02886-1633,True
ALADDIN'S CASTLE,650  BALD HILL RD.,MIDLAND MALL # 136,WARWICK,RI,02886-1634,True
